(man, hombre)
(woman, mujer)
(boy, niño)
(girl, niña)
(child, niño)
(people, gente)
(person, persona)
(family, familia)
(uniform, uniforme)
(mother, madre)
(father, padre)
(brother, hermano)
(sister, hermana)
(friend, amigo)
(baby, bebé)
(we, nosotros)
(they, ellos)
(he, él)
(she, ella)
(it, eso)
(I, yo)
(you, tú)
(the, el/la)
(a, un/una)
(article, artículo)
(this, este/esta)
(that, ese/esa)
(these, estos/estas)
(homework, tarea)
(those, esos/esas)
(be, ser/estar)
(have, tener)
(do, hacer)
(say, decir)
(go, ir)
(get, obtener)
(make, hacer)
(know, saber/conocer)
(think, pensar)
(see, ver)
(come, venir)
(want, querer)
(look, mirar)
(use, usar)
(find, encontrar)
(give, dar)
(tell, decir/contar)
(work, trabajar)
(no, no)
(not, no)
(call, llamar)
(try, intentar)
(ask, preguntar)
(need, necesitar)
(feel, sentir)
(leave, salir/dejar)
(put, poner)
(keep, mantener)
(let, dejar/permitir)
(begin, empezar)
(house, casa)
(school, escuela)
(food, comida)
(water, agua)
(day, día)
(night, noche)
(time, tiempo)
(year, año)
(way, camino/forma)
(thing, cosa)
(life, vida)
(world, mundo)
(hand, mano)
(eye, ojo)
(place, lugar)
(work, trabajo)
(week, semana)
(case, caso)
(good, bueno)
(bad, malo)
(big, grande)
(small, pequeño)
(happy, feliz)
(sad, triste)
(new, nuevo)
(old, viejo)
(young, joven)
(easy, fácil)
(hard, difícil)
(fast, rápido)
(slow, lento)
(hot, caliente)
(cold, frío)
(in, en)
(on, sobre/en)
(at, en)
(with, con)
(without, sin)
(for, para)
(from, de/desde)
(to, a/hacia)
(and, y)
(but, pero)
(because, porque)
(cow, vaca)
(today, hoy)
(tomorrow, mañana)
(town, pueblo)
(dog, perro)
(cat, gato)
(want, querer)
